judul berita,berita Link
Bagnaia-Marc Marquez di Ducati Layaknya Mbappe-Vinicius di Madrid,https://sport.detik.com/moto-gp/d-7669378/bagnaia-marc-marquez-di-ducati-layaknya-mbappe-vinicius-di-madrid
"Tatap Olimpiade LA 2028, Pemerintah Mau Bangun Sport Center",https://sport.detik.com/sport-lain/d-7665147/tatap-olimpiade-la-2028-pemerintah-mau-bangun-sport-center
Komentar Mohammad Ahsan soal Hendra Setiawan Pensiun,https://sport.detik.com/raket/d-7670383/komentar-mohammad-ahsan-soal-hendra-setiawan-pensiun
"Acosta: Martin Cuma Sedikit Menangi Balapan, tapi Pantas Juara Dunia",https://sport.detik.com/moto-gp/d-7669042/acosta-martin-cuma-sedikit-menangi-balapan-tapi-pantas-juara-dunia
Hendra Setiawan Pensiun Usai Indonesia Masters 2025,https://sport.detik.com/raket/d-7669629/hendra-setiawan-pensiun-usai-indonesia-masters-2025
,
Timnas Basket RI Langsung Fokus Menjamu Thailand Usai Dikalahkan Korsel,https://sport.detik.com/basket/d-7651042/timnas-basket-ri-langsung-fokus-menjamu-thailand-usai-dikalahkan-korsel
Hasil Kualifikasi FIBA Asia Cup 2025: Indonesia Dikalahkan Korsel,https://sport.detik.com/basket/d-7650673/hasil-kualifikasi-fiba-asia-cup-2025-indonesia-dikalahkan-korsel
Harga Tiket Kualifikasi FIBA Asia Cup 2025: Termurah Rp 100 Ribu,https://sport.detik.com/basket/d-7642853/harga-tiket-kualifikasi-fiba-asia-cup-2025-termurah-rp-100-ribu
Tim Basket Harlem Globetrotters Beri Coaching Clinic di Jakarta,https://sport.detik.com/basket/d-7642110/tim-basket-harlem-globetrotters-beri-coaching-clinic-di-jakarta
Menpora Diajak Nonton Final DBL 2024 Bulan Depan,https://sport.detik.com/basket/d-7626278/menpora-diajak-nonton-final-dbl-2024-bulan-depan
Arki Dikania Wisnu Bela Dewa United di IBL 2025,https://sport.detik.com/basket/d-7626064/arki-dikania-wisnu-bela-dewa-united-di-ibl-2025
20 Pebasket Putri Jalani TC SEA Games 2025 di Surabaya,https://sport.detik.com/basket/d-7626019/20-pebasket-putri-jalani-tc-sea-games-2025-di-surabaya
Timnas Basket RI Jalani 4 Uji Coba Sebelum Kualifikasi Asia Cup 2025,https://sport.detik.com/basket/d-7623064/timnas-basket-ri-jalani-4-uji-coba-sebelum-kualifikasi-asia-cup-2025
Dewa United Gelar Turnamen Basket Elite Pro Championship,https://sport.detik.com/basket/d-7619266/dewa-united-gelar-turnamen-basket-elite-pro-championship
"4 Musim Beruntun, Ada 120 Pemain Internasional di NBA",https://sport.detik.com/basket/d-7616081/4-musim-beruntun-ada-120-pemain-internasional-di-nba
Budisatrio Ingin Lebih Banyak Perempuan dalam Kepengurusan Perbasi,https://sport.detik.com/basket/d-7613548/budisatrio-ingin-lebih-banyak-perempuan-dalam-kepengurusan-perbasi
Budisatrio Djiwandono Jadi Ketua Umum PP Perbasi 2024-2028,https://sport.detik.com/basket/d-7612995/budisatrio-djiwandono-jadi-ketua-umum-pp-perbasi-2024-2028
Erick Thohir di Munas Perbasi 2024: Ketum Baru Perlu Lanjutkan Sejarah,https://sport.detik.com/basket/d-7611033/erick-thohir-di-munas-perbasi-2024-ketum-baru-perlu-lanjutkan-sejarah
Johannis Winar Kini Jadi Pelatih Kepala Timnas Basket Putra Indonesia,https://sport.detik.com/basket/d-7608940/johannis-winar-kini-jadi-pelatih-kepala-timnas-basket-putra-indonesia
Para Tua-tua Keladi di NBA,https://sport.detik.com/basket/d-7578124/para-tua-tua-keladi-di-nba
Pelita Jaya Kawinkan Gelar Juara IBL 2024 dan All Indonesian 2024,https://sport.detik.com/basket/d-7576671/pelita-jaya-kawinkan-gelar-juara-ibl-2024-dan-all-indonesian-2024
"Setelah 13 Tahun, Arki Dikania Wisnu Tinggalkan Satria Muda",https://sport.detik.com/basket/d-7573739/setelah-13-tahun-arki-dikania-wisnu-tinggalkan-satria-muda
Waktunya Satria Muda 'Balas Dendam' ke Pelita Jaya,https://sport.detik.com/basket/d-7572874/waktunya-satria-muda-balas-dendam-ke-pelita-jaya
"Hal yang Tidak Boleh Dilakukan Saat Bermain Bola Basket, Bisa Pelanggaran",https://sport.detik.com/basket/d-7566415/hal-yang-tidak-boleh-dilakukan-saat-bermain-bola-basket-bisa-pelanggaran
Pesan Phil Handy Buat Basket Indonesia: Perbanyak Pelatih Usia Muda,https://sport.detik.com/basket/d-7559959/pesan-phil-handy-buat-basket-indonesia-perbanyak-pelatih-usia-muda
Budisatrio Jadi Calon Tunggal Ketum PP Perbasi,https://sport.detik.com/basket/d-7555829/budisatrio-jadi-calon-tunggal-ketum-pp-perbasi
Tim Basket DKI Jakarta Sabet Juara Umum PON XXI Aceh-Sumut 2024,https://sport.detik.com/basket/d-7550560/tim-basket-dki-jakarta-sabet-juara-umum-pon-xxi-aceh-sumut-2024
Pendaftaran Calon Ketum PP Perbasi: Budisatrio Didukung 28 Pengprov,https://sport.detik.com/basket/d-7549839/pendaftaran-calon-ketum-pp-perbasi-budisatrio-didukung-28-pengprov
"IBL All Indonesian 2024 Siap Digelar, 14 Tim Perebutkan Piala Menpora",https://sport.detik.com/basket/d-7544431/ibl-all-indonesian-2024-siap-digelar-14-tim-perebutkan-piala-menpora
FIBA Ungkap Alasan Berkantor di Jakarta,https://sport.detik.com/basket/d-7544144/fiba-ungkap-alasan-berkantor-di-jakarta
Presiden Joko Widodo Resmikan Kantor FIBA di Jakarta,https://sport.detik.com/basket/d-7543819/presiden-joko-widodo-resmikan-kantor-fiba-di-jakarta
Dua Pebasket Muda Indonesia Masuk Kamp NBA di Australia,https://sport.detik.com/basket/d-7540732/dua-pebasket-muda-indonesia-masuk-kamp-nba-di-australia
PON 2024: Perbasi Jakarta Kawinkan Emas Basket Putra-Putri,https://sport.detik.com/basket/d-7537998/pon-2024-perbasi-jakarta-kawinkan-emas-basket-putra-putri
PP Perbasi Gandeng Phil Handy untuk Kembangkan Bakat Pebasket Muda,https://sport.detik.com/basket/d-7536608/pp-perbasi-gandeng-phil-handy-untuk-kembangkan-bakat-pebasket-muda
PP Perbasi Tetapkan Ardima Rama Putra Jadi Plt Ketum Pengganti Danny Kosasih,https://sport.detik.com/basket/d-7533668/pp-perbasi-tetapkan-ardima-rama-putra-jadi-plt-ketum-pengganti-danny-kosasih
Ketum Perbasi Danny Kosasih Tutup Usia,https://sport.detik.com/basket/d-7527077/ketum-perbasi-danny-kosasih-tutup-usia
"FIBA U-18 Asia Cup 2024: Kandas, Timnas Basket Indonesia Sudah Maksimal",https://sport.detik.com/basket/d-7526201/fiba-u-18-asia-cup-2024-kandas-timnas-basket-indonesia-sudah-maksimal
"FIBA U-18 Asia Cup 2024: Kalah dari Filipina, Timnas Ditunggu Selandia Baru",https://sport.detik.com/basket/d-7522708/fiba-u-18-asia-cup-2024-kalah-dari-filipina-timnas-ditunggu-selandia-baru
"Ada Liga Basket Antarakademi Bulan Ini, Masuk Seri Ketiga",https://sport.detik.com/basket/d-7519002/ada-liga-basket-antarakademi-bulan-ini-masuk-seri-ketiga
IBL Kerja Sama dengan Liga Basket Jepang: Pupuk Talenta Pebasket Muda,https://sport.detik.com/basket/d-7518570/ibl-kerja-sama-dengan-liga-basket-jepang-pupuk-talenta-pebasket-muda
IBL Gelar Turnamen All Indonesian 2024 Mulai 22 September,https://sport.detik.com/basket/d-7514827/ibl-gelar-turnamen-all-indonesian-2024-mulai-22-september
Aras Gading Muda Raih Sukses di Kejurnas,https://sport.detik.com/basket/d-7508328/aras-gading-muda-raih-sukses-di-kejurnas
"Maju Ketum PP Perbasi, Budi Djiwandono Ingin Majukan Basket Nasional",https://sport.detik.com/basket/d-7507785/maju-ketum-pp-perbasi-budi-djiwandono-ingin-majukan-basket-nasional
PP Perbasi Pastikan Dana Deposit Balon Ketum Bukan untuk Munas,https://sport.detik.com/basket/d-7505818/pp-perbasi-pastikan-dana-deposit-balon-ketum-bukan-untuk-munas
Ponakan Prabowo Ikut Bursa Balon Caketum PP Perbasi 2024-2028,https://sport.detik.com/basket/d-7505684/ponakan-prabowo-ikut-bursa-balon-caketum-pp-perbasi-2024-2028
Bursa Calon Ketum PP Perbasi 2024-2028 Mulai Diminati,https://sport.detik.com/basket/d-7504174/bursa-calon-ketum-pp-perbasi-2024-2028-mulai-diminati
Regional Jawa Tutup 3X3 Indonesia Tournament Tahun Ini,https://sport.detik.com/basket/d-7496535/regional-jawa-tutup-3x3-indonesia-tournament-tahun-ini
"Bursa Calon Ketum PP Perbasi Dibuka, Pendaftar Wajib Bawa Rp 500 Juta",https://sport.detik.com/basket/d-7490500/bursa-calon-ketum-pp-perbasi-dibuka-pendaftar-wajib-bawa-rp-500-juta
Amartha Hangtuah Tetap Dilatih 'Cacing' Musim Depan,https://sport.detik.com/basket/d-7488625/amartha-hangtuah-tetap-dilatih-cacing-musim-depan
CEO DBL Terima Kasih ke Mitsuishi,https://sport.detik.com/basket/d-7488219/ceo-dbl-terima-kasih-ke-mitsuishi
"Basket Olimpiade 2024: Kalahkan Prancis, Tim Putri AS Rebut Emas Penentu!",https://sport.detik.com/basket/d-7484897/basket-olimpiade-2024-kalahkan-prancis-tim-putri-as-rebut-emas-penentu
"Basket Olimpiade 2024: Curry On Fire, AS Rebut Emas Usai Atasi Prancis",https://sport.detik.com/basket/d-7483787/basket-olimpiade-2024-curry-on-fire-as-rebut-emas-usai-atasi-prancis
"Basket Olimpiade 2024: Comeback Dramatis Lawan Serbia, AS ke Final",https://sport.detik.com/basket/d-7480799/basket-olimpiade-2024-comeback-dramatis-lawan-serbia-as-ke-final
PP Perbasi Mencari Pengganti Danny Kosasih,https://sport.detik.com/basket/d-7480556/pp-perbasi-mencari-pengganti-danny-kosasih
Cara PP Perbasi Bakar Semangat Main Basket di Indonesia,https://sport.detik.com/basket/d-7479911/cara-pp-perbasi-bakar-semangat-main-basket-di-indonesia
olimpiade 2024,https://www.detik.com/tag/olimpiade-2024
motogp 2024,https://www.detik.com/tag/motogp-2024
"MU Batal Pakai Jaket LGBT, Sponsor Kecewa",https://sport.detik.com/sepakbola/liga-inggris/d-7671527/mu-batal-pakai-jaket-lgbt-sponsor-kecewa
Lagi Lagi Mbappe Gagal Penalti,https://sport.detik.com/sepakbola/liga-spanyol/d-7671523/lagi-lagi-mbappe-gagal-penalti
Meme Meriam London Habisi Setan Merah lewat Sepak Pojok,https://sport.detik.com/sepakbola/foto-sepakbola/d-7671555/meme-meriam-london-habisi-setan-merah-lewat-sepak-pojok
"Klasemen Liga Spanyol: Madrid Kalah, Gagal Tempel Barca",https://sport.detik.com/sepakbola/liga-spanyol/d-7671580/klasemen-liga-spanyol-madrid-kalah-gagal-tempel-barca
Klasemen Liga Inggris: Chelsea & Arsenal Pangkas Jarak dengan Liverpool,https://sport.detik.com/sepakbola/liga-inggris/d-7671522/klasemen-liga-inggris-chelsea-arsenal-pangkas-jarak-dengan-liverpool
Target Tinggi Pengganti Marc Marquez Bersama Gresini Racing,https://sport.detik.com/moto-gp/d-7650830/target-tinggi-pengganti-marc-marquez-bersama-gresini-racing
"Bagnaia Gagal Juara Dunia, Ducati: Bukan Musim yang Buruk",https://sport.detik.com/moto-gp/d-7647103/bagnaia-gagal-juara-dunia-ducati-bukan-musim-yang-buruk
Ducati: Semoga Marc Marquez Tak Banyak Masalah dengan Motor Baru,https://sport.detik.com/moto-gp/d-7646456/ducati-semoga-marc-marquez-tak-banyak-masalah-dengan-motor-baru
